type	latitude	longitude	altitude (ft)	name	desc	url
T	40.675450000	-77.859940000	1105.7			
T	40.675450000	-77.859950000	1105.7			
T	40.675630000	-77.859460000	1112.5			
T	40.675975002	-77.858705004	1121.6			
T	40.676320000	-77.857950000	1123.9			
T	40.676502511	-77.857022508	1116.2			
T	40.676685015	-77.856095010	1111.8			
T	40.676867511	-77.855167508	1099.5			
T	40.677050000	-77.854240000	1095.7			
T	40.677395003	-77.853385005	1100.3			
T	40.677740000	-77.852530000	1104.1			
T	40.677913343	-77.851463339	1107.5			
T	40.678086676	-77.850396672	1109.0			
T	40.678260000	-77.849330000	1110.7			
T	40.678310000	-77.848870000	1113.3			
T	40.678450000	-77.848100000	1129.0			
T	40.678590000	-77.847580000	1128.4			
T	40.678760000	-77.847120000	1124.1			
T	40.679030000	-77.846840000	1114.8			
T	40.679450001	-77.846550002	1105.2			
T	40.679870000	-77.846260000	1089.4			
T	40.680345002	-77.845650004	1087.2			
T	40.680820000	-77.845040000	1091.6			
T	40.681285001	-77.844625003	1098.6			
T	40.681750000	-77.844210000	1098.7			
T	40.681970000	-77.843890000	1093.5			
T	40.682355002	-77.843150004	1087.1			
T	40.682740000	-77.842410000	1085.7			
T	40.683080000	-77.841870000	1071.8			
T	40.683680002	-77.841135007	1050.0			
T	40.684280000	-77.840400000	1044.4			
T	40.684400000	-77.840080000	1041.5			
T	40.684400000	-77.839890000	1040.4			
T	40.684410000	-77.839720000	1040.1			
T	40.684225002	-77.839114999	1042.6			
T	40.684040000	-77.838510000	1045.3			
T	40.684080000	-77.838200000	1047.8			
T	40.684140000	-77.838020000	1050.0			
T	40.684430000	-77.837530000	1056.3			
T	40.684895001	-77.836945004	1064.3			
T	40.685360000	-77.836360000	1070.9			
T	40.685860000	-77.835430000	1084.7			
T	40.686130000	-77.834620000	1097.0			
T	40.686565002	-77.834005004	1105.1			
T	40.687000000	-77.833390000	1110.9			
T	40.687040000	-77.833140000	1116.1			
T	40.687400000	-77.832200000	1137.5			
T	40.687770000	-77.831440000	1149.7			
T	40.688090000	-77.830860000	1163.9			
T	40.688375001	-77.830395002	1176.2			
T	40.688660000	-77.829930000	1191.8			
T	40.689290000	-77.829240000	1211.5			
T	40.689695001	-77.828705003	1222.9			
T	40.690100000	-77.828170000	1240.4			
T	40.690530002	-77.827545004	1263.4			
T	40.690960000	-77.826920000	1284.5			
T	40.691140000	-77.826610000	1292.5			
T	40.691480000	-77.825890000	1314.3			
T	40.691820000	-77.825350000	1326.6			
T	40.692180001	-77.824835003	1343.5			
T	40.692540000	-77.824320000	1353.5			
T	40.693006670	-77.823736675	1369.7			
T	40.693473336	-77.823153341	1385.2			
T	40.693940000	-77.822570000	1403.0			
T	40.694100000	-77.822310000	1414.2			
T	40.694320000	-77.821820000	1427.5			
T	40.694770000	-77.821100000	1446.2			
T	40.695130000	-77.820470000	1458.4			
T	40.695340000	-77.820150000	1470.3			
T	40.695750000	-77.819580000	1499.7			
T	40.695950000	-77.819230000	1512.3			
T	40.696250000	-77.818630000	1530.7			
T	40.696300000	-77.818460000	1533.8			
T	40.696330000	-77.818050000	1534.1			
T	40.696300000	-77.817070000	1512.9			
T	40.696400000	-77.816260000	1489.7			
T	40.696500000	-77.815820000	1476.2			
T	40.696570004	-77.814905001	1468.0			
T	40.696640000	-77.813990000	1476.6			
T	40.696650000	-77.813490000	1475.9			
T	40.696640000	-77.812640000	1467.1			
T	40.696655002	-77.811935001	1463.1			
T	40.696670000	-77.811230000	1456.3			
T	40.696673343	-77.810146667	1455.4			
T	40.696676677	-77.809063334	1440.0			
T	40.696680000	-77.807980000	1432.5			
T	40.696730000	-77.807090000	1419.2			
T	40.696830000	-77.806240000	1406.3			
T	40.696940000	-77.805510000	1401.8			
T	40.697175004	-77.804505003	1402.2			
T	40.697410000	-77.803500000	1409.9			
T	40.697565002	-77.802920001	1415.0			
T	40.697720000	-77.802340000	1420.0			
T	40.697720000	-77.802350000	1419.9			
T	40.697830000	-77.801940000	1428.1			
T	40.698120008	-77.800996675	1442.3			
T	40.698410008	-77.800053341	1454.2			
T	40.698700000	-77.799110000	1466.9			
T	40.698875002	-77.798425002	1473.7			
T	40.699050000	-77.797740000	1472.7			
T	40.699240000	-77.797190000	1478.6			
T	40.699350000	-77.796660000	1477.2			
T	40.699380000	-77.796440000	1476.8			
T	40.699350000	-77.796210000	1476.8			
T	40.699260000	-77.796070000	1477.0			
T	40.699140000	-77.795980000	1478.1			
T	40.698940000	-77.795970000	1478.3			
T	40.698780000	-77.795980000	1478.6			
T	40.698440000	-77.796070000	1476.5			
T	40.698000000	-77.796160000	1470.9			
T	40.697610000	-77.796300000	1467.3			
T	40.697390000	-77.796340000	1466.8			
T	40.696850000	-77.796650000	1469.6			
T	40.696530000	-77.796740000	1469.8			
T	40.696300000	-77.796740000	1471.3			
T	40.695870000	-77.796680000	1475.3			
T	40.695630000	-77.796560000	1475.9			
T	40.695490000	-77.796340000	1474.1			
T	40.695430000	-77.796160000	1472.3			
T	40.695380000	-77.795450000	1463.2			
T	40.695380000	-77.795130000	1460.0			
T	40.695420000	-77.794820000	1455.3			
T	40.695550000	-77.794360000	1445.3			
T	40.695740000	-77.793840000	1441.5			
T	40.696250000	-77.792890000	1431.2			
T	40.696490000	-77.792490000	1425.7			
T	40.696590000	-77.792360000	1422.4			
T	40.696850000	-77.791910000	1411.2			
T	40.697110000	-77.791280000	1405.7			
T	40.697290000	-77.790780000	1397.7			
T	40.697500000	-77.790250000	1393.6			
T	40.697776671	-77.789506673	1384.4			
T	40.698053338	-77.788763340	1374.0			
T	40.698330000	-77.788020000	1357.7			
T	40.698593338	-77.787293339	1350.8			
T	40.698856671	-77.786566672	1341.9			
T	40.699120000	-77.785840000	1328.2			
T	40.699120000	-77.785850000	1328.4			
T	40.699476674	-77.784906677	1318.2			
T	40.699833341	-77.783963343	1317.4			
T	40.700190000	-77.783020000	1315.7			
T	40.700320000	-77.782650000	1312.3			
T	40.700420000	-77.782290000	1311.5			
T	40.700530000	-77.781520000	1301.5			
T	40.700690000	-77.780890000	1292.7			
T	40.700820000	-77.780590000	1286.7			
T	40.701240000	-77.779960000	1269.4			
T	40.701520000	-77.779420000	1258.4			
T	40.701885004	-77.778400006	1250.4			
T	40.702250000	-77.777380000	1265.2			
T	40.702535002	-77.776650003	1258.0			
